background_id,latitude,longitude,distance_to_road_m,distance_to_river_m,nearest_road_type,nearest_road_name,nearest_road_osm_id,nearest_waterway_type,nearest_waterway_name,nearest_waterway_osm_id,road_search_radius_m,river_search_radius_m,road_extraction_ok,river_extraction_ok,roads_rivers_extraction_ok,osm_source,osm_snapshot_timestamp,distance_method
BG_0025,23.9035870513082,92.33858205591376,3104.5635438097056,799.2660556936229,trunk,,1248087557.0,river,,385092114.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-31T22:37:44Z,local equirectangular point-to-polyline
BG_0026,22.272434202605208,93.1600754185129,122.9667953535284,2488.855271454868,unclassified,,1111219033.0,river,Boinu,40478039.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-06T03:25:00Z,local equirectangular point-to-polyline
BG_0027,27.656449304426417,88.44439804631892,8240.45456025718,1173.378821476838,unclassified,,1460221974.0,river,Ringi Chu,134410519.0,15000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T19:44:34Z,local equirectangular point-to-polyline
BG_0028,24.22660019214865,93.72121956543327,175.22132241721428,3857.157952614062,unclassified,,813231539.0,stream,Tuikham Lok,1457264375.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T17:44:00Z,local equirectangular point-to-polyline
BG_0029,25.18976344237939,93.9273040698278,1277.3021089154067,2666.0298354090883,primary,,385553805.0,river,Apo Ki,1436769123.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-31T22:37:44Z,local equirectangular point-to-polyline
BG_0030,26.12131288752809,92.4670349958996,2540.72417496088,5746.681598386697,trunk,,384532054.0,river,Kopili,229795706.0,5000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T17:44:00Z,local equirectangular point-to-polyline
BG_0031,24.24225070264117,93.3787632456438,4824.06302855464,982.4505786322684,unclassified,,1184088733.0,river,Tuivai,174064550.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-31T22:37:44Z,local equirectangular point-to-polyline
BG_0032,27.78151856196336,88.22926331893291,13154.780332995548,5414.681987644438,track,,1153267680.0,stream,Lungma Chu,134410495.0,15000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-31T22:37:44Z,local equirectangular point-to-polyline
BG_0033,24.894404722836555,94.63026311699991,154.83466834959668,2557.6983095050155,unclassified,,1540362563.0,river,Sana Lok,772793578.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T20:02:06Z,local equirectangular point-to-polyline
BG_0034,27.9028805400544,88.44203038871244,4.981593100256466,961.252975565711,unclassified,,899791257.0,stream,,1219723413.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T21:10:07Z,local equirectangular point-to-polyline
