event_id,state,district_or_region,locality,latitude,longitude,location_precision,location_accuracy_m,event_date,year,month,monsoon_phase,landslide_type,trigger_factor,record_type,reliability_score,fatalities,is_fatal,severity_class,injuries,description,source_url,data_source,dem_tile_id,dem_source,terrain_extraction_ok,elevation_m,slope_deg,aspect_deg,curvature_1_per_m,dem_pixel_x_m,dem_pixel_y_m,fine_scale_terrain_reliable,rainfall_source,rainfall_extraction_ok,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,rainfall_daily_values_json
1048378,Assam,Assam,Dhirenpara,26.13088435,91.71073619,High (<2km),1844,2005-08-24,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,"The body of a one-year-old child was found at Dhirenpara this morning. The child’s mother was trapped in the rubble until reports last came in. “We found the body of infant Rahul Ali, while his mother, Anifa Begum, is believed to be still under the d",http://www.telegraphindia.com/1050826/asp/northeast/story_5157079.asp,UGLC,Copernicus_DSM_COG_10_N26_00_E091_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,130.03472900390625,4.403079655411881,214.3988785124912,0.0058785430107347,27.7616712680834,30.715,True,NASA POWER Daily API / PRECTOTCORR,True,22.4,37.26,258.21,"{""2005-08-18"": 114.74, ""2005-08-19"": 63.62, ""2005-08-20"": 15.59, ""2005-08-21"": 27.0, ""2005-08-22"": 7.2, ""2005-08-23"": 7.66, ""2005-08-24"": 22.4}"
1048550,Assam,Assam,Guwahati,26.13140438,91.93086808,Medium (2-25km),15925,2005-08-24,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,4,1,Moderate (3-5),,"At least five persons, four children and a woman, were killed in landslide at three different places of Guwahati on Wednesday.  Police said heavy rain in the city since Wednesday evening caused the landslide at the Fatashil Ambari, Maligaon and Santipur",http://timesofindia.indiatimes.com/articleshow/1210299.cms,UGLC,Copernicus_DSM_COG_10_N26_00_E091_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,123.35052490234376,11.829864954977326,243.66726921612684,-0.0043176456475084,27.7615476589272,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,22.4,37.26,258.21,"{""2005-08-18"": 114.74, ""2005-08-19"": 63.62, ""2005-08-20"": 15.59, ""2005-08-21"": 27.0, ""2005-08-22"": 7.2, ""2005-08-23"": 7.66, ""2005-08-24"": 22.4}"
1048387,Assam,Assam,Fatasil Ambari,26.16175948,91.72188533,High (<2km),796,2005-08-24,2005,8,Monsoon (Jun-Sep),ND,rainfall (T),event,7,3,1,Moderate (3-5),,"At least five persons, four children and a woman, were killed in landslide at three different places of Guwahati on Wednesday.  Police said heavy rain in the city since Wednesday evening caused the landslide at the Fatashil Ambari, Maligaon and Santipur",http://timesofindia.indiatimes.com/articleshow/1210299.cms,UGLC,Copernicus_DSM_COG_10_N26_00_E091_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,139.72340393066406,33.73951893104046,313.9465760564516,0.0005809520748725,27.75432840440592,30.715,True,NASA POWER Daily API / PRECTOTCORR,True,22.4,37.26,258.21,"{""2005-08-18"": 114.74, ""2005-08-19"": 63.62, ""2005-08-20"": 15.59, ""2005-08-21"": 27.0, ""2005-08-22"": 7.2, ""2005-08-23"": 7.66, ""2005-08-24"": 22.4}"
938387,Sikkim,Sikkim,Dikchu,27.40133744,88.52441984,High (<2km),351,2005-09-25,2005,9,Monsoon (Jun-Sep),ND,rainfall (T),event,5,3,1,Moderate (3-5),,"""""GFLD"", locality: 'Dikchu',"" description: """"""""Fifteen people have been killed in landslides and an avalanche in India's rain-lashed mountainous state of Sikkim"", local police said.  Seven members of a family died on Sunday when a landslide engulfed their house in the hillside village of Manzing,"" 100""""""""""""",http://www.abc.net.au/news/newsitems/200509/s1469741.htm,UGLC,Copernicus_DSM_COG_10_N27_00_E088_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,673.4405517578125,22.724419368389043,2.576925227539107,-0.0024660839262511,27.452892447608946,30.715,True,NASA POWER Daily API / PRECTOTCORR,True,1.56,2.89,13.589999999999998,"{""2005-09-19"": 2.28, ""2005-09-20"": 4.09, ""2005-09-21"": 3.76, ""2005-09-22"": 0.57, ""2005-09-23"": 0.04, ""2005-09-24"": 1.29, ""2005-09-25"": 1.56}"
1050584,Assam,Assam,Chandranathpur,24.96518283,92.69340028,High (<2km),1097,2006-06-12,2006,6,Monsoon (Jun-Sep),ND,rainfall (T),event,9,3,1,Moderate (3-5),,"In Assam, three women were killed Monday night in a landslide in Chandranathpur village in the southern Cachar district, about 310 km from the state’s main city of Guwahati.  ‘Three women died and eight more were seriously injured in the incident whe",http://indiaenews.com/2006-06/11235-floods-landslides-northeast-75000-displaced.htm,UGLC,Copernicus_DSM_COG_10_N24_00_E092_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,25.597381591796875,4.804046253072771,29.42882745962436,0.0001084970240427,28.032986884499508,30.715,True,NASA POWER Daily API / PRECTOTCORR,True,96.45,230.87,254.38,"{""2006-06-06"": 3.34, ""2006-06-07"": 8.32, ""2006-06-08"": 1.22, ""2006-06-09"": 10.63, ""2006-06-10"": 61.38, ""2006-06-11"": 73.04, ""2006-06-12"": 96.45}"
1049243,Tripura,Tripura,CHURAIBARI,24.42795641,92.23424031,Medium (2-25km),2043,2006-06-13,2006,6,Monsoon (Jun-Sep),ND,rainfall (T),event,9,5,1,Moderate (3-5),,"Flash floods and mudslides triggered by heavy monsoon rains in the northeast killed eight people and displaced some 75,000 in Assam and Tripura, officials said Tuesday.  A Tripura government spokesman said five people, including three children, were kil",http://indiaenews.com/2006-06/11235-floods-landslides-northeast-75000-displaced.htm,UGLC,Copernicus_DSM_COG_10_N24_00_E092_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,34.46438217163086,1.909302712195588,83.90475471652036,-0.001543927581245,28.154126293752636,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,43.37,166.92,250.80999999999997,"{""2006-06-07"": 6.67, ""2006-06-08"": 2.11, ""2006-06-09"": 12.82, ""2006-06-10"": 62.29, ""2006-06-11"": 55.47, ""2006-06-12"": 68.08, ""2006-06-13"": 43.37}"
938444,Sikkim,Sikkim,East Sikkim,27.29288574,88.67133148,Medium (2-25km),17358,2006-08-03,2006,8,Monsoon (Jun-Sep),ND,rainfall (T),event,9,1,1,Minor (1-2),,"Rongli subdivision in East Sikkim has been cut off from the rest of the state following landslides triggered by heavy rainfall that lashed the area last night, claiming the life of a five-year-old girl besides destroying many houses in the sub-division.T",http://www.thestatesman.net/page.arcview.php?clid=10&id=152557&usrsess=1,UGLC,Copernicus_DSM_COG_10_N27_00_E088_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,2045.0093994140625,28.72238838495379,274.9568690222049,-0.0128194000157216,27.479780324464727,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,2.26,13.670000000000002,20.84,"{""2006-07-28"": 0.82, ""2006-07-29"": 3.27, ""2006-07-30"": 1.66, ""2006-07-31"": 1.42, ""2006-08-01"": 7.94, ""2006-08-02"": 3.47, ""2006-08-03"": 2.26}"
938422,Sikkim,Sikkim,"Sikkim, 13 km north of Gangtok",27.4459,88.6193,Medium (2-25km),5000,2007-04-11,2007,4,Pre-monsoon (Apr-May),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,"WebIndia123.com' '1000 tourists stranded, more than 180 vehicles stranded, 150 m stretch of road was covered, occurred at 2:00 local time",http://news.webindia123.com/news/ar_showdetails.asp?id=704100915&cat=&n_date=20070410,UGLC,Copernicus_DSM_COG_10_N27_00_E088_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,1961.0325927734373,11.777175016848634,153.7776014001256,-0.0027900709950614,27.441815762739104,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,0.01,8.43,9.91,"{""2007-04-05"": 0.01, ""2007-04-06"": 0.01, ""2007-04-07"": 1.0, ""2007-04-08"": 0.46, ""2007-04-09"": 6.65, ""2007-04-10"": 1.77, ""2007-04-11"": 0.01}"
938415,Sikkim,Sikkim,"Pangthang, on road b/t Gangtok and North Sikkim",27.3383,88.6069,Low (>25km),50000,2007-05-23,2007,5,Pre-monsoon (Apr-May),earth slide,rainfall (T),report,9,0,0,No fatalities,0.0,Sikkim times.com' 'along highway,http://www.thestatesman.net/page.arcview.php?clid=10&id=184730&usrsess=1,UGLC,Copernicus_DSM_COG_10_N27_00_E088_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,1523.8096923828125,19.67787333863308,224.3895136365313,-0.0013998375967079,27.468532975050643,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,0.02,2.31,27.49,"{""2007-05-17"": 3.73, ""2007-05-18"": 16.88, ""2007-05-19"": 3.96, ""2007-05-20"": 0.61, ""2007-05-21"": 0.8, ""2007-05-22"": 1.49, ""2007-05-23"": 0.02}"
938390,Sikkim,Sikkim,North Sikkim,27.74367525,88.52635367,Low (>25km),36744,2007-06-27,2007,6,Monsoon (Jun-Sep),ND,rainfall (T),event,9,2,1,Minor (1-2),,Two people were killed and several injured in a landslide that occurred around 12: 30 a.m. at Takchi Bojoghari village under Kabi Tingda area in North Sikkim about 8 km from Gangtok. The landslide also left the nearby houses in danger.  The dead were ide,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=161007,UGLC,Copernicus_DSM_COG_10_N27_00_E088_00_DEM,Copernicus DEM GLO-30 via Microsoft Planetary Computer,True,4007.63134765625,50.68192489089456,113.70086054503838,-0.0011157865863768,27.36737356695137,30.715,False,NASA POWER Daily API / PRECTOTCORR,True,17.73,21.47,30.869999999999997,"{""2007-06-21"": 0.04, ""2007-06-22"": 2.83, ""2007-06-23"": 5.79, ""2007-06-24"": 0.74, ""2007-06-25"": 0.2, ""2007-06-26"": 3.54, ""2007-06-27"": 17.73}"
