threshold,f1,f2,precision,recall
0.05,0.8340579710144927,0.904874213836478,0.7378205128205129,0.9591666666666666
0.055,0.8375819373634378,0.9060825716987079,0.7438551099611902,0.9583333333333334
0.06,0.8397225264695144,0.9070831361413472,0.7472384665367121,0.9583333333333334
0.065,0.8433823529411765,0.9074367088607594,0.7546052631578948,0.9558333333333333
0.07,0.8489795918367347,0.9086576648133439,0.7652173913043478,0.9533333333333334
0.075,0.8504464285714286,0.9088740458015268,0.7681451612903226,0.9525
0.08,0.8532934131736527,0.9088010204081632,0.7744565217391305,0.95
0.08499999999999999,0.8551051051051051,0.9091634738186463,0.7780054644808743,0.9491666666666667
0.09,0.8538055764883196,0.9058202750239847,0.7792297111416782,0.9441666666666667
0.095,0.8547655068078669,0.9048686739269699,0.7825484764542936,0.9416666666666667
0.09999999999999999,0.8563829787234043,0.9042041078305519,0.7870111731843575,0.9391666666666667
0.105,0.8568164508758568,0.9034693221972374,0.7889200561009818,0.9375
0.10999999999999999,0.8586707410236822,0.9038275972981666,0.7926657263751763,0.9366666666666666
0.11499999999999999,0.8602068173113749,0.9040412171952986,0.7958894401133948,0.9358333333333333
0.12,0.8618699499807618,0.9033715115341184,0.8005718370264474,0.9333333333333333
0.12499999999999999,0.8644264194669756,0.9040232670867668,0.8056155507559395,0.9325
0.13,0.8642166344294003,0.9029911075181891,0.8064981949458484,0.9308333333333333
0.135,0.8667961165048543,0.9036437246963562,0.8116363636363636,0.93
0.13999999999999999,0.8690568978955573,0.9041518001946156,0.8162518301610542,0.9291666666666667
0.145,0.8676298320968372,0.9016393442622951,0.8163115356355621,0.9258333333333333
0.14999999999999997,0.8696673189823875,0.9025182778229082,0.8199261992619926,0.9258333333333333
0.15499999999999997,0.868916797488226,0.9002927781392323,0.8212166172106825,0.9225
0.15999999999999998,0.8702830188679245,0.90087890625,0.8236607142857143,0.9225
0.16499999999999998,0.8682965299684543,0.8971642764015645,0.8241017964071856,0.9175
0.16999999999999998,0.8706998813760379,0.8981889378365149,0.8284424379232506,0.9175
0.175,0.8714285714285714,0.8970588235294118,0.8318181818181818,0.915
0.18,0.8721207307386815,0.8973520758417783,0.8330804248861912,0.915
0.185,0.8710191082802548,0.8949607329842932,0.8338414634146342,0.9116666666666666
0.19,0.8709163346613545,0.8944353518821604,0.834351145038168,0.9108333333333334
0.195,0.8705035971223022,0.8923303834808259,0.836405529953917,0.9075
0.19999999999999996,0.8698438125750901,0.8906019353780548,0.8373168851195065,0.905
0.20499999999999996,0.8697394789579158,0.8900738310090238,0.8378378378378378,0.9041666666666667
0.20999999999999996,0.8695303091128062,0.889016581842062,0.838884585592564,0.9025
0.21499999999999997,0.8695303091128062,0.889016581842062,0.838884585592564,0.9025
0.21999999999999997,0.8696701528559936,0.8881038448899112,0.8405909797822706,0.9008333333333334
0.22499999999999998,0.8699154248892469,0.8877198750616472,0.8417770849571318,0.9
0.22999999999999998,0.8676351896690879,0.8843369529450477,0.8411580594679187,0.8958333333333334
0.235,0.8673139158576052,0.8827404479578392,0.8427672955974843,0.8933333333333333
0.24,0.8668831168831169,0.8806068601583114,0.8449367088607594,0.89
0.245,0.8670191134607564,0.8796831160257468,0.846703733121525,0.8883333333333333
0.24999999999999994,0.8658785161027314,0.8772509499421774,0.8475658419792498,0.885
0.25499999999999995,0.866231647634584,0.8773959021810972,0.8482428115015974,0.885
0.25999999999999995,0.865659452837893,0.8761778806414283,0.8486789431545236,0.8833333333333333
0.26499999999999996,0.8642681929681112,0.8741316572940787,0.848314606741573,0.8808333333333334
0.26999999999999996,0.8627611634575993,0.8715444462837278,0.8485092667203867,0.8775
0.27499999999999997,0.8613617719442166,0.8694932096720769,0.8481421647819063,0.875
0.27999999999999997,0.8613617719442166,0.8694932096720769,0.8481421647819063,0.875
0.285,0.8621966269025092,0.8688443044271266,0.851340373679935,0.8733333333333333
0.29,0.8607907742998353,0.8667883211678832,0.8509771986970684,0.8708333333333333
0.295,0.8605610561056105,0.8657038512616202,0.8521241830065359,0.8691666666666666
0.3,0.8611570247933884,0.8654485049833887,0.8540983606557377,0.8683333333333333
0.30499999999999994,0.859983429991715,0.862986365147988,0.8550247116968699,0.865
0.30999999999999994,0.8606965174129353,0.8632734530938124,0.8564356435643564,0.865
0.31499999999999995,0.8605809128630706,0.8627287853577371,0.8570247933884297,0.8641666666666666
0.31999999999999995,0.8609381486093814,0.8628723581294725,0.8577336641852771,0.8641666666666666
0.32499999999999996,0.8620116375727348,0.8633033633033633,0.8598673300165838,0.8641666666666666
0.32999999999999996,0.8615384615384616,0.8626144879267277,0.8597510373443984,0.8633333333333333
0.33499999999999996,0.8604748021657642,0.8606898850191634,0.8601165695253955,0.8608333333333333
