model,roc_auc,pr_auc,threshold,f1,f2,precision,recall,xgboost_weight,lightgbm_weight
XGBoost,0.9767895833333333,0.9259361536485198,0.26499999999999996,0.8683160415003991,0.8909269570913855,0.8330781010719756,0.9066666666666666,,
LightGBM,0.9756717592592592,0.9226402013829785,0.175,0.8685162846803377,0.8871365204534253,0.8391608391608392,0.9,,
Random Forest,0.9685791666666667,0.9002839507316985,0.3449999999999999,0.837696335078534,0.854841361170475,0.8106001558846454,0.8666666666666667,,
Weighted XGBoost + LightGBM ensemble,0.9765793981481482,0.9248897866322848,0.18,0.8721207307386815,0.8973520758417783,0.8330804248861912,0.915,0.3,0.7
