pair_id,state,event_date,positive_rainfall_24h_mm,background_rainfall_24h_mm,delta_rainfall_24h_mm,positive_rainfall_72h_mm,background_rainfall_72h_mm,delta_rainfall_72h_mm,positive_rainfall_7d_mm,background_rainfall_7d_mm,delta_rainfall_7d_mm,positive_rain_prev_48h_mm,background_rain_prev_48h_mm,delta_rain_prev_48h_mm,positive_rain_prev_4d_mm,background_rain_prev_4d_mm,delta_rain_prev_4d_mm,positive_ratio_24_to_72,background_ratio_24_to_72,delta_ratio_24_to_72,positive_ratio_72_to_7d,background_ratio_72_to_7d,delta_ratio_72_to_7d
1048547,Assam,2004-07-15,21.19,14.14,7.050000000000001,86.74,22.26,64.47999999999999,174.81,68.47,106.34,65.55,8.120000000000001,57.42999999999999,88.07000000000001,46.209999999999994,41.860000000000014,0.24429329029282917,0.6352201257861635,-0.3909268354933343,0.4961958698014987,0.32510588578939686,0.17108998401210185
1048389,Assam,2004-07-15,21.19,45.76,-24.569999999999997,86.74,89.97,-3.230000000000004,174.81,198.24,-23.430000000000007,65.55,44.21,21.339999999999996,88.07000000000001,108.27000000000001,-20.200000000000003,0.24429329029282917,0.5086139824385906,-0.26432069214576137,0.4961958698014987,0.4538438256658595,0.0423520441356392
1048386,Assam,2004-07-15,21.19,16.77,4.420000000000002,86.74,25.38,61.36,174.81,66.67999999999999,108.13000000000001,65.55,8.61,56.94,88.07000000000001,41.3,46.77000000000001,0.24429329029282917,0.6607565011820331,-0.4164632108892039,0.4961958698014987,0.38062387522495505,0.11557199457654366
1050630,Assam,2004-07-15,14.1,46.54,-32.44,35.129999999999995,94.32,-59.19,98.06,199.44,-101.38,21.029999999999994,47.779999999999994,-26.75,62.93000000000001,105.12,-42.19,0.40136635354397954,0.49342663273960985,-0.09206027919563031,0.3582500509891902,0.4729241877256317,-0.1146741367364415
1050635,Mizoram,2004-07-29,0.48,1.02,-0.54,4.9,5.09,-0.1899999999999995,16.06,16.21,-0.15000000000000213,4.42,4.07,0.34999999999999964,11.159999999999998,11.120000000000001,0.03999999999999737,0.09795918367346938,0.20039292730844796,-0.10243374363497858,0.3051058530510586,0.31400370141887723,-0.00889784836781865
938324,Sikkim,2004-09-02,16.38,17.2,-0.8200000000000003,40.57,40.260000000000005,0.30999999999999517,134.07,133.1,0.9699999999999989,24.19,23.060000000000006,1.1299999999999955,93.5,92.83999999999999,0.6600000000000108,0.40374661079615476,0.4272230501738698,-0.02347643937771504,0.30260311777429705,0.30247933884297523,0.00012377893132181628
1048548,Assam,2004-10-07,121.78,12.8,108.98,229.02,49.85,179.17000000000002,265.58000000000004,65.55,200.03000000000003,107.24000000000001,37.05,70.19000000000001,36.56000000000003,15.699999999999996,20.860000000000035,0.531743952493232,0.2567703109327984,0.27497364156043363,0.8623390315535807,0.7604881769641496,0.1018508545894311
1048377,Assam,2004-10-08,24.2,57.27,-33.07000000000001,234.49,238.81000000000003,-4.320000000000022,289.61999999999995,284.56,5.059999999999945,210.29000000000002,181.54000000000002,28.75,55.12999999999994,45.74999999999997,9.379999999999967,0.10320269521088318,0.2398140781374314,-0.13661138292654823,0.8096471238174161,0.839225470902446,-0.029578347085029932
1050658,Mizoram,2005-08-01,0.21,0.19,0.01999999999999999,1.95,1.15,0.8,16.98,9.269999999999998,7.710000000000003,1.74,0.96,0.78,15.030000000000001,8.119999999999997,6.910000000000004,0.10769230769230768,0.16521739130434784,-0.05752508361204016,0.11484098939929328,0.12405609492988136,-0.009215105530588075
1048549,Assam,2005-08-19,63.62,16.91,46.709999999999994,179.61999999999998,35.96,143.65999999999997,231.20999999999995,76.91,154.29999999999995,115.99999999999997,19.05,96.94999999999997,51.589999999999975,40.949999999999996,10.63999999999998,0.35419218349849685,0.47024471635150167,-0.11605253285300482,0.7768695125643356,0.46755948511246914,0.3093100274518664
